Gene.stable.ID,HGNC.symbol
ENSMNEG00000000001,FAM78B
ENSMNEG00000000002,
ENSMNEG00000000003,BRINP2
ENSMNEG00000000004,
ENSMNEG00000000006,ETFRF1
ENSMNEG00000000007,
ENSMNEG00000000011,
ENSMNEG00000000012,KRT38
ENSMNEG00000000014,MB21D2
ENSMNEG00000000016,
ENSMNEG00000000019,DDIT3
ENSMNEG00000000021,
ENSMNEG00000000021,
ENSMNEG00000000022,TMEM179B
ENSMNEG00000000024,
ENSMNEG00000000025,
ENSMNEG00000000026,
ENSMNEG00000000027,
ENSMNEG00000000029,BRI3
ENSMNEG00000000030,
ENSMNEG00000000030,
ENSMNEG00000000030,
ENSMNEG00000000030,
ENSMNEG00000000032,FAAH2
ENSMNEG00000000034,TTC31
ENSMNEG00000000036,HOXC5
ENSMNEG00000000037,TMEM208
ENSMNEG00000000038,KCNN2
ENSMNEG00000000039,ECI2
ENSMNEG00000000040,
ENSMNEG00000000042,TUBB2B
ENSMNEG00000000043,CLASRP
ENSMNEG00000000045,GSDMC
ENSMNEG00000000046,UPF1
ENSMNEG00000000048,
ENSMNEG00000000049,
ENSMNEG00000000050,LDLR
ENSMNEG00000000052,TAFA5
ENSMNEG00000000053,NCR3LG1
ENSMNEG00000000055,
ENSMNEG00000000056,
ENSMNEG00000000057,
ENSMNEG00000000060,AXIN2
ENSMNEG00000000061,TLL2
ENSMNEG00000000062,7SK
ENSMNEG00000000064,U12
ENSMNEG00000000066,7SK
ENSMNEG00000000067,
ENSMNEG00000000068,
ENSMNEG00000000070,U6
ENSMNEG00000000071,U6
ENSMNEG00000000074,OR7A17
ENSMNEG00000000076,
ENSMNEG00000000078,
ENSMNEG00000000081,7SK
ENSMNEG00000000084,PDF
ENSMNEG00000000085,CDH7
ENSMNEG00000000089,HHIPL2
ENSMNEG00000000092,
ENSMNEG00000000093,5S_rRNA
ENSMNEG00000000096,
ENSMNEG00000000097,TFEC
ENSMNEG00000000098,NME6
ENSMNEG00000000099,RNF112
ENSMNEG00000000100,OCIAD1
ENSMNEG00000000102,FABP7
ENSMNEG00000000106,7SK
ENSMNEG00000000108,7SK
ENSMNEG00000000109,MIR346
ENSMNEG00000000110,U6
ENSMNEG00000000111,
ENSMNEG00000000112,U6
ENSMNEG00000000113,MIR581
ENSMNEG00000000116,5S_rRNA
ENSMNEG00000000117,
ENSMNEG00000000126,
ENSMNEG00000000128,
ENSMNEG00000000129,NRDC
ENSMNEG00000000130,NSF
ENSMNEG00000000131,TRMT5
ENSMNEG00000000132,
ENSMNEG00000000138,7SK
ENSMNEG00000000139,U6
ENSMNEG00000000140,7SK
ENSMNEG00000000141,U6
ENSMNEG00000000143,5S_rRNA
ENSMNEG00000000144,
ENSMNEG00000000149,TRAV1-1
ENSMNEG00000000150,
ENSMNEG00000000151,DLG4
ENSMNEG00000000157,7SK
ENSMNEG00000000158,7SK
ENSMNEG00000000159,MIR6125
ENSMNEG00000000161,U6
ENSMNEG00000000163,5S_rRNA
ENSMNEG00000000164,
ENSMNEG00000000166,U6
ENSMNEG00000000175,
ENSMNEG00000000177,
ENSMNEG00000000178,DDC
ENSMNEG00000000180,MIR1288
ENSMNEG00000000182,U6
ENSMNEG00000000183,7SK
ENSMNEG00000000184,U6
ENSMNEG00000000185,
ENSMNEG00000000189,5S_rRNA
ENSMNEG00000000192,TTC30A
ENSMNEG00000000193,7SK
ENSMNEG00000000205,
ENSMNEG00000000206,APOA2
ENSMNEG00000000207,
ENSMNEG00000000208,STK17B
ENSMNEG00000000209,TSC22D1
ENSMNEG00000000211,U6
ENSMNEG00000000212,7SK
ENSMNEG00000000213,U6
ENSMNEG00000000215,5S_rRNA
ENSMNEG00000000217,
ENSMNEG00000000220,
ENSMNEG00000000223,7SK
ENSMNEG00000000224,GJC2
ENSMNEG00000000227,U1
ENSMNEG00000000229,TASL
ENSMNEG00000000233,7SK
ENSMNEG00000000236,5S_rRNA
ENSMNEG00000000237,7SK
ENSMNEG00000000239,
ENSMNEG00000000240,U6
ENSMNEG00000000244,U6
ENSMNEG00000000245,
ENSMNEG00000000247,
ENSMNEG00000000255,RGL1
ENSMNEG00000000256,
ENSMNEG00000000258,
ENSMNEG00000000259,CLP1
ENSMNEG00000000260,U6
ENSMNEG00000000261,7SK
ENSMNEG00000000262,7SK
ENSMNEG00000000263,
ENSMNEG00000000269,
ENSMNEG00000000270,
ENSMNEG00000000271,
ENSMNEG00000000272,MIR802
ENSMNEG00000000273,5S_rRNA
ENSMNEG00000000275,OXGR1
ENSMNEG00000000278,U6
ENSMNEG00000000280,U6
ENSMNEG00000000281,7SK
ENSMNEG00000000282,
ENSMNEG00000000285,7SK
ENSMNEG00000000290,
ENSMNEG00000000291,MIR920
ENSMNEG00000000292,LPAR6
ENSMNEG00000000293,
ENSMNEG00000000294,SLC6A19
ENSMNEG00000000298,5S_rRNA
ENSMNEG00000000300,U6
ENSMNEG00000000301,7SK
ENSMNEG00000000302,U6
ENSMNEG00000000303,7SK
ENSMNEG00000000304,
ENSMNEG00000000308,TMEM200A
ENSMNEG00000000315,
ENSMNEG00000000320,IL2
ENSMNEG00000000321,GPT
ENSMNEG00000000322,OR5A1
